N,time(tics),time(secs)
249,3.406000e-004,1.724000e-004
250,4.189000e-004,1.750000e-004
251,3.809000e-004,1.778000e-004
252,3.221000e-004,1.798000e-004
253,3.405000e-004,1.756000e-004
254,5.019000e-004,1.828000e-004
255,3.071000e-004,1.813000e-004
256,5.121000e-004,1.841000e-004
257,3.843000e-004,1.844000e-004
258,3.695000e-004,1.873000e-004
259,4.460000e-004,1.868000e-004
260,5.403000e-004,1.895000e-004
261,6.996000e-004,1.903000e-004
262,5.412000e-004,1.902000e-004
263,3.589000e-004,1.903000e-004
264,4.345000e-004,1.922000e-004
265,4.499000e-004,1.962000e-004
266,4.381000e-004,1.986000e-004
267,3.583000e-004,1.951000e-004
268,3.988000e-004,1.992000e-004
269,4.788000e-004,2.021000e-004
270,3.821000e-004,2.032000e-004
271,4.567000e-004,2.050000e-004
272,4.084000e-004,2.057000e-004
273,5.207000e-004,2.084000e-004
274,4.218000e-004,2.087000e-004
275,4.759000e-004,2.105000e-004
276,4.423000e-004,2.110000e-004
277,3.846000e-004,2.079000e-004
278,8.573000e-004,2.167000e-004
279,3.665000e-004,2.155000e-004
280,4.770000e-004,2.178000e-004
281,4.259000e-004,2.167000e-004
282,4.685000e-004,2.187000e-004
283,4.542000e-004,2.180000e-004
284,4.345000e-004,2.220000e-004
285,4.385000e-004,2.255000e-004
286,4.879000e-004,2.235000e-004
287,4.313000e-004,2.275000e-004
288,5.535000e-004,2.267000e-004
289,5.157000e-004,2.306000e-004
290,5.254000e-004,2.297000e-004
291,7.515000e-004,2.306000e-004
292,6.058000e-004,2.362000e-004
293,4.475000e-004,2.365000e-004
294,6.526000e-004,2.365000e-004
295,4.651000e-004,2.358000e-004
296,5.267000e-004,2.393000e-004
297,5.387000e-004,2.433000e-004
298,5.105000e-004,2.421000e-004
299,4.426000e-004,2.441000e-004
300,5.462000e-004,2.458000e-004
301,5.307000e-004,2.453000e-004
302,7.710000e-004,2.513000e-004
303,5.144000e-004,2.504000e-004
304,4.712000e-004,2.536000e-004
305,5.095000e-004,2.484000e-004
306,6.421000e-004,2.546000e-004
307,4.623000e-004,2.559000e-004
308,5.553000e-004,2.581000e-004
309,4.621000e-004,2.562000e-004
310,6.636000e-004,2.618000e-004
311,5.681000e-004,2.648000e-004
312,8.462000e-004,2.657000e-004
313,8.630000e-004,2.644000e-004
314,5.875000e-004,2.634000e-004
315,4.860000e-004,2.698000e-004
316,7.421000e-004,2.730000e-004
317,5.594000e-004,2.718000e-004
318,5.343000e-004,2.772000e-004
319,4.595000e-004,2.766000e-004
320,6.764000e-004,2.790000e-004
321,6.129000e-004,2.782000e-004
322,6.068000e-004,2.801000e-004
323,6.206000e-004,2.822000e-004
324,5.781000e-004,2.844000e-004
325,5.292000e-004,2.847000e-004
326,6.286000e-004,2.857000e-004
327,5.158000e-004,2.847000e-004
328,6.068000e-004,2.915000e-004
329,6.236000e-004,2.859000e-004
330,6.146000e-004,2.932000e-004
331,6.633000e-004,2.955000e-004
332,6.279000e-004,2.933000e-004
333,1.220200e-003,2.953000e-004
334,5.631000e-004,3.008000e-004
335,8.490000e-004,2.982000e-004
336,5.628000e-004,3.033000e-004
337,5.442000e-004,3.057000e-004
338,7.347000e-004,3.095000e-004
339,6.201000e-004,3.114000e-004
340,6.731000e-004,3.099000e-004
341,5.935000e-004,3.151000e-004
342,6.509000e-004,3.130000e-004
343,7.196000e-004,3.139000e-004
344,7.172000e-004,3.213000e-004
345,6.473000e-004,3.181000e-004
346,6.263000e-004,3.209000e-004
347,6.490000e-004,3.216000e-004
348,6.264000e-004,3.237000e-004
349,5.699000e-004,3.256000e-004
350,6.411000e-004,3.304000e-004
351,5.730000e-004,3.321000e-004
352,8.784000e-004,3.344000e-004
353,6.229000e-004,3.323000e-004
354,9.695000e-004,3.392000e-004
355,5.761000e-004,3.361000e-004
356,6.178000e-004,3.413000e-004
357,6.068000e-004,3.437000e-004
358,6.010000e-004,3.420000e-004
359,6.335000e-004,3.400000e-004
360,9.098000e-004,3.460000e-004
361,6.399000e-004,3.430000e-004
362,5.589000e-004,3.465000e-004
363,6.815000e-004,3.520000e-004
364,1.099500e-003,3.471000e-004
365,7.773000e-004,3.550000e-004
366,7.324000e-004,3.517000e-004
367,6.740000e-004,3.597000e-004
368,7.169000e-004,3.587000e-004
369,7.670000e-004,3.618000e-004
370,1.026800e-003,3.637000e-004
371,8.143000e-004,3.662000e-004
372,1.295900e-003,3.686000e-004
373,6.828000e-004,3.639000e-004
374,1.094000e-003,3.748000e-004
375,7.702000e-004,3.711000e-004
376,8.328000e-004,3.775000e-004
377,7.047000e-004,3.687000e-004
378,7.702000e-004,3.821000e-004
379,7.160000e-004,3.782000e-004
380,9.514000e-004,3.822000e-004
381,8.798000e-004,3.871000e-004
382,8.543000e-004,3.870000e-004
383,8.363000e-004,3.911000e-004
384,8.314000e-004,3.908000e-004
385,9.431000e-004,3.928000e-004
386,7.413000e-004,3.913000e-004
